session,time,in,out,dur_ms,stop,tool,cmd,fp
11-51,11:51:28,11850,154,3361,tool_use,Bash,pwd && ls -la,ad963e7e
11-51,11:51:28,11850,154,3361,tool_use,Bash,"which pragma 2>/dev/null; command -v pragma 2>/dev/null; echo ""---""; ps aux | gr",a88635b3
11-51,11:51:32,13425,129,4154,tool_use,Bash,cat README.md,d5bf7164
11-51,11:51:32,13425,129,4154,tool_use,Bash,"head -100 agent.md; echo ""===""; ls internal/ cmd/ tools/",4e1f1017
11-51,11:51:37,16877,256,4887,tool_use,Bash,"ls -la ~/.pragma/ 2>/dev/null | head -30; echo ""===""; ls -la .pragma/ | head -30",14c24a90
11-51,11:51:37,16877,256,4887,tool_use,Bash,"ls internal/observe/; echo ""===""; ls internal/session/ | head -30; echo ""===""; l",68b2b8b4
11-51,11:51:44,18284,232,6996,tool_use,Bash,"cat internal/observe/watchdog.go; echo ""====TOKEN_MONITOR====""; head -80 interna",2545fdc5
11-51,11:51:44,18284,232,6996,tool_use,Bash,"ls ~/.pragma/logs | tail -10; echo ""===""; ls ~/.pragma/sessions | tail -5; echo ",85da96bb
11-51,11:51:52,20080,209,7538,tool_use,Bash,"LATEST=$(ls -t ~/.pragma/sessions/*.jsonl | head -1); echo ""file: $LATEST""; wc -",6c259cc2
11-51,11:51:52,20080,209,7538,tool_use,Bash,"ls cmd/pragma-instrument/; echo ""===""; head -60 cmd/pragma-instrument/main.go 2>",704013c8
11-51,11:52:00,21622,448,8207,tool_use,Bash,"grep -o 'NewEventHeader(""[A-Za-z]*""' internal/observe/*.go | grep -o '""[A-Za-z]*",2c7c7460
11-51,11:52:00,21622,448,8207,tool_use,Bash,"cd ~/.pragma/logs && for f in $(ls -t *.jsonl | head -5); do echo ""-- $f: $(wc -",a1d62e96
11-51,11:52:05,22746,246,5293,tool_use,Bash,"cd ~/.pragma/logs && F=$(ls -t *.jsonl | head -1); python3 -c ""
import json,sys
",a144b8f3
11-51,11:52:05,22746,246,5293,tool_use,Bash,"cd ~/.pragma/logs && F=$(ls -t *.jsonl | head -1); grep '""ToolExecutionStarted""'",d9315d8c
11-51,11:52:09,23076,274,3703,tool_use,Bash,"cd ~/.pragma/logs && python3 -c ""
import json
from collections import Counter
ki",50360875
11-51,11:52:09,23076,274,3703,tool_use,Bash,"cd ~/.pragma/logs && python3 -c ""
import json
seen=set()
with open('2026-09-21T1",279b1f83
11-51,11:52:28,24308,1157,18114,tool_use,Bash,"grep -rn 'PRAGMA_HOME' internal/ --include=*.go | head -10; echo ""===""; grep -rn",4996a6e4
11-51,11:52:28,24308,1157,18114,tool_use,Bash,cat Makefile; echo ===; grep -rn 'APIRequestStarted' internal/observe/*.go | gre,a7be07dd
11-51,11:52:31,26171,171,3363,tool_use,Bash,grep -rn '\.pragma' internal/config/*.go | grep -v _test | head -10; echo ===; g,9ba1b269
11-51,11:52:31,26171,171,3363,tool_use,Bash,"sed -n 40,110p internal/observe/event_catalog.go; grep -n 'Usage' internal/obser",309ac557
11-51,11:52:54,27165,1218,23071,tool_use,Bash,grep -n -A8 'type TokenUsage' internal/model/*.go | head -15; echo ===; cd ~/.pr,2cc3cfca
11-51,11:53:03,28723,324,8343,tool_use,Bash,"sed -n 1,130p internal/observe/event.go; echo ===LOAD_EVENTS===; grep -n 'func '",3f714f9c
11-51,11:54:19,30192,4641,75591,tool_use,Bash,grep -rln 'internal/observe' internal/ cmd/ --include=*.go | grep -v _test | hea,7ebef01c
11-51,11:54:54,35107,3306,34834,tool_use,Bash,grep -n -A10 'type ErrorOccurred\|type MCPServerConnected\|type UserTurnAccepted,c900a02f
11-51,11:54:54,35107,3306,34834,tool_use,Bash,"ps -eo pid=,etime=,pcpu=,command= | head -5; echo ""===""; ps -eo pid=,etime=,pcpu",4de12771
11-51,11:55:00,39412,386,6125,tool_use,Bash,"ps -eo pid=,etime=,pcpu=,command= | grep -E 'pragma' | grep -vE 'grep|pragma-wat",26802363
11-51,11:55:00,39412,386,6125,tool_use,Bash,grep -n -A12 'type ToolExecutionStarted\|type ToolExecutionCompleted\|type ToolC,3d95ab36
11-51,11:55:25,40270,2570,24902,tool_use,Bash,grep -n -A10 'type MessageAppended\|type MCPServerDisconnected\|type ToolExecuti,ebdb751d
11-51,11:55:52,43146,4195,27416,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Add File: internal",34ce7c3f
11-51,11:56:26,47333,4744,33481,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Add File: internal",34ce7c3f
11-51,11:56:39,52096,1613,13545,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Add File: internal",34ce7c3f
11-51,11:57:08,53749,3353,28749,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Add File: internal",34ce7c3f
11-51,11:57:14,57142,529,5614,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Update File: inter",690e1769
11-51,11:57:29,57711,1539,15491,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Add File: internal",34ce7c3f
11-51,11:58:23,59291,6446,53903,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Add File: cmd/prag",17aa244e
11-51,11:58:36,65777,720,13162,tool_use,apply_patch,"{""patch"": ""*** Begin Patch\n*** Update File: cmd/p",accd7a95
11-51,11:58:38,66537,150,2403,tool_use,Bash,"grep -n 'tools' cmd/pragma-watch/main.go | head; sed -n '/RecentTools/,$p' cmd/p",e35a066d
